Year,Quarter,Category,Metric,Capital,Gde SP(1),Interior,Deinter 1,Deinter 2,Deinter 3,Deinter 4,Deinter 5,Deinter 6,Deinter 7,Deinter 8,Deinter 9,Deinter 10,Estado
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Estupro de Vulnerável",446,496,1411,151,187,178,124,116,133,271,71,137,43,2353
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Extorsão mediante seqüestro (5)",23,5,9,0,5,1,1,0,2,0,0,0,0,37
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Tráfico de entorpecentes",1674,1312,6494,615,848,1100,540,531,487,769,308,1041,255,9480
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Roubo - outros TOTAL(6)",31745,12669,10215,1218,2234,1186,303,225,2962,671,66,1207,143,54629
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Roubo - Outros",30851,12220,9870,1185,2103,1152,293,221,2901,647,62,1167,139,52941
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Roubo de veículos",3827,2841,2178,231,828,259,32,21,241,158,4,394,10,8846
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Roubo a Banco",6,1,3,1,1,1,0,0,0,0,0,0,0,10
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Roubo de Carga",888,448,342,32,130,33,10,4,61,24,4,40,4,1678
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Furto - outros",40335,14398,47828,4624,7492,7590,3834,3142,7478,4798,1596,5474,1800,102561
2020,04,"Ocorrências policiais registradas, por tipo","Ocorrências policiais registradas, por tipo - Furto de veículos",6632,4126,5971,591,1310,1053,284,329,626,516,84,1066,112,16729
2020,04,Exames de Natureza Necroscópica (12),Exames de Natureza Necroscópica (12) - Exames Necroscópicos Realizados - IML,3305,2225,5821,,,,,,,,,,,11351
2020,04,Exames de Natureza Necroscópica (12),Exames de Natureza Necroscópica (12) - Laudos Necroscópicos Expedidos do Ano - IML,2960,2140,5739,,,,,,,,,,,10839
2020,04,Exames de Natureza Necroscópica (12),Exames de Natureza Necroscópica (12) - Laudos Necroscópicos Expedidos do Ano Anterior IML,-,-,-,,,,,,,,,,,-
2020,04,Clínicos e Laboratoriais (12),Clínicos e Laboratoriais (12) - Exames Clínicos Laboratoriais Realizados - IML (14),25724,15337,44977,,,,,,,,,,,86038
2020,04,Clínicos e Laboratoriais (12),Clínicos e Laboratoriais (12) - Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15),25086,15613,45091,,,,,,,,,,,85790
2020,04,Clínicos e Laboratoriais (12),"Clínicos e Laboratoriais (12) - Laudos Clínicos Laboratoriais Expedidos do Ano Anterior -
  IML (16)",-,-,-,,,,,,,,,,,-
2020,04,Criminalísticos (12),Criminalísticos (12) - Exames Periciais Realizados - IC,28463,15023,59834,,,,,,,,,,,103320
2020,04,Criminalísticos (12),Criminalísticos (12) - Laudos Periciais Expedidos do Ano - IC,27968,14540,58124,,,,,,,,,,,100632
2020,04,Criminalísticos (12),Criminalísticos (12) - Laudos Periciais Expedidos do Ano Anterior- IC,-,-,-,,,,,,,,,,,-
2020,04,Exames Outros do IML à Margem do GDL (12) (13),Exames Outros do IML à Margem do GDL (12) (13) - Exames Outros Realizados - IML (14),-,-,-,,,,,,,,,,,-
2020,04,Exames Outros do IML à Margem do GDL (12) (13),Exames Outros do IML à Margem do GDL (12) (13) - Laudos Outros Expedidos do Ano - IML (15),-,-,-,,,,,,,,,,,-
2020,04,Exames Outros do IML à Margem do GDL (12) (13),Exames Outros do IML à Margem do GDL (12) (13) - Laudos Outros Expedidos do Ano Anterior IML (16),-,-,-,,,,,,,,,,,-
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra a pessoa",25576,18425,69963,7710,9648,9734,6729,5826,5657,8172,4314,9310,2863,113964
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra o patrimônio",109934,50234,110276,11337,19727,15917,8149,5998,14991,12159,3679,14668,3651,270444
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contra a Dignidade Sexual",966,856,2740,271,400,367,250,199,266,472,146,292,77,4562
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Entorpecentes",1867,1455,8182,702,1093,1495,661,575,827,872,494,1161,302,11504
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Contravencionais",1473,1164,7093,562,964,1241,723,513,492,879,443,1016,260,9730
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Outros criminais (não inclui contravenções)",5782,4371,18563,1706,2413,2506,1484,1548,2265,2478,1094,2361,708,28716
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Total de Crimes Violentos ( Hom.Doloso, Roubo,
  Latrocínio, Estupro e EMS)",35617,16866,14990,1783,3254,1835,541,474,3488,1253,211,1924,227,67473
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Total de delitos",145598,76505,216817,22288,34245,31260,17996,14659,24498,25032,10170,28808,7861,438920
2021,01,"Ocorrências policiais registradas, por natureza","Ocorrências policiais registradas, por natureza - Não Criminais",119487,68436,177184,21204,31387,25760,13931,10125,18600,17528,8192,24360,6097,365107
2021,01,Atividades de polícia judiciária,Atividades de polícia judiciária - Total de boletins de ocorrência,110494,127110,393430,44095,66998,57258,32533,25594,43907,41943,17688,49199,14215,631034
